순위,곡명,아티스트,앨범,앨범이미지
1,SHOOTING STAR (BARS REMIXX FEAT. RICO NASTY),XG,SHOOTING STAR REMIXX (PROD BY JAKOPS),https://cdnimg.melon.co.kr/cm2/album/images/112/19/097/11219097_20230406150658_500.jpg/melon/resize/282/quality/80/optimize
2,No Love (Drown),I'MIN,No Love (Drown),https://cdnimg.melon.co.kr/cm2/album/images/112/10/743/11210743_20230324225506_500.jpg/melon/resize/282/quality/80/optimize
3,오래오래,죠지,FRR,https://cdnimg.melon.co.kr/cm2/album/images/112/18/699/11218699_20230405184131_500.jpg/melon/resize/282/quality/80/optimize
4,Diver,이지카이트 (Izykite),I ZIP,https://cdnimg.melon.co.kr/cm2/album/images/112/19/069/11219069_20230406144018_500.jpg/melon/resize/282/quality/80/optimize
5,(n)everland,홍이삭,(n)everland,https://cdnimg.melon.co.kr/cm2/album/images/112/19/230/11219230_20230406160722_500.jpg/melon/resize/282/quality/80/optimize
6,공범,Dopein,Blue Sunrise,https://cdnimg.melon.co.kr/cm2/album/images/112/18/481/11218481_20230405160548_500.jpg/melon/resize/282/quality/80/optimize
7,Please love me more,Pa!nter,Please love me more,https://cdnimg.melon.co.kr/cm2/album/images/112/16/686/11216686_20230406141150_500.jpg/melon/resize/282/quality/80/optimize
8,"언제쯤, 어디부터 (with FR:EDEN)",Dumo,"언제쯤, 어디부터",https://cdnimg.melon.co.kr/cm2/album/images/112/18/029/11218029_20230405120638_500.jpg/melon/resize/282/quality/80/optimize
9,Only Me,이도리,Only Me,https://cdnimg.melon.co.kr/cm2/album/images/112/17/928/11217928_20230405113414_500.jpg/melon/resize/282/quality/80/optimize
10,"그 해 우리는 (Feat. kun, HEMO)",캠퍼 (kvmper),그 해 우리는,https://cdnimg.melon.co.kr/cm2/album/images/112/17/723/11217723_20230405102300_500.jpg/melon/resize/282/quality/80/optimize
11,Onion,SHARKI,Onion,https://cdnimg.melon.co.kr/cm2/album/images/112/18/178/11218178_20230405142718_500.jpg/melon/resize/282/quality/80/optimize
12,INFP (Feat. leeoh),수찬,INFP,https://cdnimg.melon.co.kr/cm2/album/images/112/18/784/11218784_20230406104836_500.jpg/melon/resize/282/quality/80/optimize
13,꽃 보러 가지 않을래,하이디,꽃 보러 가지 않을래,https://cdnimg.melon.co.kr/cm2/album/images/112/18/381/11218381_20230405154433_500.jpg/melon/resize/282/quality/80/optimize
14,자동응답 (feat. 서현수),문소낙 (Sonak Moon),자동응답,https://cdnimg.melon.co.kr/cm2/album/images/112/18/125/11218125_20230405145507_500.jpg/melon/resize/282/quality/80/optimize
