순위,곡명,아티스트,앨범
1,벚꽃이 날리는 여의도에서,범승혁,벚꽃이 날리는 여의도에서
2,문과 문 사이에 잠들어버린 나는,문웅주,빨간소파
3,나의 사랑 너에게 (Feat. 후아유),이채아,기다리던 계절
4,연인,김민성,연인
5,Only Me,이도리,Only Me
6,"그 해 우리는 (Feat. kun, HEMO)",캠퍼 (kvmper),그 해 우리는
7,벽,김달,Off The Wall
8,Onion,SHARKI,Onion
9,내 마음이 너를 그린다면,김로망,내 마음이 너를 그린다면
10,INFP (Feat. leeoh),수찬,INFP
11,연보라색 꽃,예노니,연보라색 꽃
12,Replay,토요(toyo),Replay
13,너에게 고마웠어 (feat. 권준),플랏나인,너에게 고마웠어
14,편지,송비,편지
15,MJ,씨클 (C.Cle),Woah!
16,소음,니하,소음
17,익선동,김 봄,익선동
18,PIXEL DIVE,Shiiin,PIXEL DIVE
19,Storm,reno da wave,Black Blood
20,해,장기하,해 / 할건지말건지
21,원탁의 기사,모브닝 (MOVNING),원탁의 기사
22,봄이야 봄,은종,봄이야 봄
23,하루필름,HYUN SEO,하루필름
24,고마웠고 미안해,태리 (Terry),고마웠고 미안해
25,NO THANKS,프리다앤 (FRIDA-ANNE),NO THANKS
26,It’s You,서이 (SeoY),April
27,속마음 (With 영은),한예린,속마음
28,I just like that,유,다이어리
29,커튼,지건우,커튼
30,Bucket list,C-realize,Bucket list
31,그래볼게 (Vocal. 우용수) (Piano Ver.),즌즌,그래볼게
32,우주 Love Me,with. Hyen(위드혠),우주 Love Me
33,대연,Dcam,대연
34,바라보고 있으면,ZYNON(지논),바라보고 있으면
35,"Bust Down REMIX (Feat. Sikboy, 1Kyne, 광어, 잭앤웨일)",C.Swag,Bust Down REMIX
36,Generic (Feat. 01),Liam K (리암 케이),The Director's Cut
37,얼음 (Prod.MAENG),박재환,ICE BREAKING
38,벚꽃이 제일 싫어 (Feat. 920),From 2020,벚꽃이 제일 싫어
39,Someday (경계),커스틴 (KIRSTENE),Someday (경계)
40,사랑같은건,JUN0,사랑같은건
41,"강화읍 궁골길 (Ganghwa-eup, Gunggol-gil)",고진현,"헤매다, 섬 (Wander, island)"
42,시절인연,보리,시절인연
43,Celebrate (feat. Annisa Diadra),윌리엄 손,Celebrate (feat. Annisa Diadra)
44,Safety Zone,우주멍게,Safety Zone
45,봄날소녀,미성,봄날소녀(A Girl In Spring)
46,내일부터,도우너(Douner),내일부터
47,New Engine,쏘노로스(Sonorous),New Engine
48,아프게만,SA4BEN (사벤),사계절
49,치킨송 (Feat. 나니),철수형님,치킨송 (Feat. 나니)
50,come to my stu (Feat. 릴러말즈) (Remix),크루셜스타 (CRUCiAL STAR),come to my stu (Remix)
