아티스트,곡명,앨범명,앨범이미지,유튜브링크
Chihiro Yamazaki,Tombo In 7/4,GOOD ONE,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/463/156/80463156_1410951951310_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=JZnyviGekYg
Marcos Ariel & Tigres Da Lapa,Tico Tico No Fuba,Marcos Ariel & Tigres Da Lapa,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/260/118/80260118_1308536460502_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=SpaCcqWmDVs
Spyro Gyra,Para Ti Latino,Fast Forward,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/920/774/81920774_1614270933537_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=uoV3voC6zfw
Michel Camilo,Blue Bossa,Michel Camilo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/034/464/108/34464108_1413437620221_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=4JkhVVXz_IM
Marco Pereira,Cristal,Essence,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/014/293/82014293_1619290545638_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=PxhijCNXanA
Pan Brazil,Samba for Carmen,With Deise Andrade,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/037/293/82037293_1620470443608_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=IFdLe_zO3OI
David Benoit,Watermelon Man,"Right Here, Right Now","https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/019/951/15019951_1406255769783_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=DIsLZeJ0ZMI
Eddie Palmieri,Palmas,Palmas,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/489/216/80489216_1425450488232_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Z-QtRSfT05E
Michel Camilo,On Fire,What's Up?,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/380/676/80380676_1661807777347_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=QJ2nSV1d3TA
Los Indios Tabajaras,Maria Elena,Maria Elena,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/965/375/80965375_1513045640307_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_rQheOglFos
Trio Toykeat,Girl From Ipanema ,High Standards,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/019/890/710/19890710_1409133000818_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=X5bu-x9UKGE
Chick Corea & Return To Forever,Spain,Light As A Feather,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/895/749/81895749_1613097326765_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=hspvnz2SjCw
Caetano Veloso,Samba Em Paz,A Night In Brazil,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/144/453/80144453_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=_HvGYNQu_5Q
Machito,Kenya (2000 Digital Remaster),Kenya,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/484/541/80484541_1424666562274_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=Y8ImfCWiXNc
Cal Tjader,Soul Sauce,Soul Sauce,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/184/233/81184233_1554860303752_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=NZPJI2xGwkM
Laura Fygi,La Complainte De Mackie (Mack The Knife),Rendez-Vous,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/054/290/360/54290360_1409211274480_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=G-dRlDRLHpw
Paris Combo,Fibre De Verre,Attraction,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/038/824/513/38824513_1_600x600.jpg/dims/resize/Q_80,0",https://www.youtube.com/watch?v=XLtvaQMJMGw
Pink Martini,Sympathique (Je Ne Veux Pas Travailler),Sympathique : 20th Anniversary Edition,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/079/608/81079608_1530236272914_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=0cCs8eQzrMQ
Eartha Kitt,Je Cherche Un Homme,Something's Gotta Give - Music From The Motion Picture,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/490/841/81490841_1593500715089_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=-UKZkB971jU
Claire Chevalier & Rosinha De Valenca,Que Reste T'Il De Nos Amours,Saveur Bresil,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/336/377/80336377_1419575041172_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=saf3SmJ4grc
Carla Bruni,Spring Waltz,봄밤 OST Part 5 (MBC 수목드라마),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/233/314/81233314_1561516272729_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=8Leu1GVRhSo
Michael Bublé,La Vie en Rose (Feat. Cecile McLorin Salvant),love (Deluxe Edition),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/108/119/81108119_1580364573850_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=BdfyVuYb_lo
전제덕,봄의 왈츠,Dancing Bird,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/413/149/80413149_1584336009266_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=ZGDaTtLY-u4
Zaz,La Vie En Rose,Recto Verso (Edition Collector),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/381/098/80381098_1384763879511_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=6A_lOwSnS8c
peppermoon,Comment Te Dire Adieu (어떻게 너에게 안녕이라 말할까),Les Moissons D'ambre,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/248/824/80248824_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=geoWtWSo9jE
고상지,Por Una Cabeza,Ataque Del Tango,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/823/629/80823629_1464315137774_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=kHkil_JjFOk
유희열,우리 만난적 있나요,유희열 소품집 [여름날],"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/062/026/559/62026559_1406627904269_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=9yn8_Cw1EmY
Shigueru Umebayashi,Yumeji's Theme (Dian Ying Hua Yang Nian Hua / Inst.),화양연화 (Original Soundtrack),"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/803/507/80803507_1591078693408_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LUssJ1oi4cA
고상지,Decarissimo,El Gran Astor Piazzolla,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/971/547/81971547_1617152039813_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=AbcI7GcS5os
푸딩 (Pudding),Tear Drops (Feat. 허윤정),Pesadelo,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/033/649/046/33649046_1409045781095_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=LPilCdrO_Ac
Kat Edmonson,Oh My Love,Oh My Love,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/461/757/80461757_1646601328194_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zwjA3uAFO50
Bajofondo & Julieta Venegas,Pa' Bailar (Siempre Quiero Mas),Mar Dulce,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/542/187/81542187_1597808136368_1_600x600.JPG/dims/resize/Q_80,0",https://www.youtube.com/watch?v=zuPDaD0WXhE
